location_code,hora,cantidad,sentido,latitud,longitud
"48Q3FG00+","2020-05-01T06:00:00-0300",234,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T07:00:00-0300",51,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T07:00:00-0300",97,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T07:00:00-0300",335,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T07:00:00-0300",160,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T07:00:00-0300",535,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T07:00:00-0300",182,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T07:00:00-0300",136,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T07:00:00-0300",314,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T07:00:00-0300",250,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T07:00:00-0300",354,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T07:00:00-0300",337,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T07:00:00-0300",643,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T07:00:00-0300",1785,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T07:00:00-0300",1816,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T07:00:00-0300",242,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T07:00:00-0300",7227,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T07:00:00-0300",19,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T07:00:00-0300",509,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T07:00:00-0300",340,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T07:00:00-0300",440,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T07:00:00-0300",126,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T07:00:00-0300",52,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T07:00:00-0300",32,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T07:00:00-0300",184,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T07:00:00-0300",561,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T07:00:00-0300",647,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T07:00:00-0300",606,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T07:00:00-0300",136,"Interna",-34.588796,-58.38152
"48Q3FG00+","2020-05-01T07:00:00-0300",782,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T07:00:00-0300",415,"Ingreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T07:00:00-0300",248,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T08:00:00-0300",49,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T08:00:00-0300",110,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T08:00:00-0300",464,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T08:00:00-0300",114,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T08:00:00-0300",680,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T08:00:00-0300",164,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T08:00:00-0300",215,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T08:00:00-0300",228,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T08:00:00-0300",360,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T08:00:00-0300",454,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T08:00:00-0300",394,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T08:00:00-0300",703,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T08:00:00-0300",1567,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T08:00:00-0300",1564,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T08:00:00-0300",358,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T08:00:00-0300",1341,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T08:00:00-0300",2,"Egreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T08:00:00-0300",36,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T08:00:00-0300",523,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T08:00:00-0300",502,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T08:00:00-0300",605,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T08:00:00-0300",167,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T08:00:00-0300",62,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T08:00:00-0300",49,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T08:00:00-0300",254,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T08:00:00-0300",586,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T08:00:00-0300",578,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T08:00:00-0300",543,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T08:00:00-0300",131,"Interna",-34.588796,-58.38152
"48Q3FG00+","2020-05-01T08:00:00-0300",787,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T08:00:00-0300",423,"Ingreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T08:00:00-0300",287,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T09:00:00-0300",47,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T09:00:00-0300",97,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T09:00:00-0300",592,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T09:00:00-0300",204,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T09:00:00-0300",675,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T09:00:00-0300",226,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T09:00:00-0300",255,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T09:00:00-0300",372,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T09:00:00-0300",401,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T09:00:00-0300",557,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T09:00:00-0300",399,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T09:00:00-0300",966,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T09:00:00-0300",1645,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T09:00:00-0300",1677,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T09:00:00-0300",595,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T09:00:00-0300",1631,"Interna",-34.618036,-58.410236
